"obs" "date_surv" "gen" "date_birth" "region" "occup" "income" "single" "use" "intens"
109 2016-10-29 "f" 1991-04-17 "North" "white collar" 9421 1 0 0
110 2016-11-12 "f" 1980-06-13 "Central" "blue collar" 1119 1 1 16
111 2016-11-08 "f" 1991-04-17 "East" "blue collar" 892 1 1 2
112 2016-11-25 "m" 1975-07-10 "NorthEast" "white collar" 859 1 0 0
113 2016-11-27 "f" 1992-04-11 "Bangkok" "blue collar" 4141 1 1 4
114 2016-12-07 "f" 1986-05-13 "Central" "blue collar" 3000 0 0 0
115 2016-11-22 "m" 1999-03-06 "Bangkok" "blue collar" 889 1 1 9
116 2016-11-17 "f" 2005-02-02 "Bangkok" "school" 0 1 0 0
117 2016-11-29 "f" 1969-08-10 "East" "white collar" 5780 0 0 0
118 2016-12-04 "m" 1987-05-08 "Central" "white collar" 10379 1 1 5
119 2016-11-14 "m" 2005-02-02 "Bangkok" "school" 0 1 1 7
120 2016-11-24 "m" 1984-05-23 "South" "unempl" 0 1 1 13
121 2016-11-03 "f" 2005-02-02 "Bangkok" "school" 0 1 0 0
122 2016-12-02 "f" 1996-03-21 "NorthEast" "univ" 0 1 1 2
123 2016-11-14 "m" 1993-04-06 "North" "blue collar" 3441 1 0 0
124 2016-11-22 "m" 1989-04-27 "NorthEast" "blue collar" 1016 1 0 0
125 2016-11-06 "f" 2005-02-02 "North" "school" 0 1 1 2
126 2016-12-06 "m" 1983-05-29 "Bangkok" "blue collar" 708 1 0 0
127 2016-12-07 "m" 2007-01-23 "South" "school" 0 1 1 2
128 2016-12-10 "f" 2003-02-13 "NorthEast" "school" 0 1 0 0
129 2016-11-12 "f" 1986-05-13 "Central" "blue collar" 234 0 0 0
130 2016-12-10 "f" 1998-03-11 "NorthEast" "blue collar" 3204 1 0 0
131 2016-12-08 "m" 1984-05-23 "Bangkok" "blue collar" 572 1 0 0
132 2016-11-10 "m" 1986-05-13 "North" "blue collar" 2397 1 1 4
133 2016-10-30 "f" 2004-02-08 "North" "school" 0 1 0 0
134 2016-11-01 "m" 1981-06-08 "NorthEast" "blue collar" 1998 1 0 0
135 2016-11-09 "m" 1981-06-08 "Bangkok" "blue collar" 3790 0 0 0
136 2016-11-06 "f" 2009-01-12 "Central" "school" 0 1 0 0
137 2016-11-10 "m" 2008-01-18 "Central" "school" 0 1 0 0
138 2016-11-22 "f" 1981-06-08 "East" "blue collar" 1395 1 0 0
139 2016-11-02 "m" 1972-07-25 "NorthEast" "blue collar" 1347 0 0 0
140 2016-12-03 "m" 2007-01-23 "East" "school" 0 1 0 0
141 2016-11-06 "m" 1970-08-05 "NorthEast" "blue collar" 546 0 0 0
142 2016-12-09 "f" 1982-06-03 "Central" "blue collar" 1660 1 0 0
143 2016-11-09 "m" 1991-04-17 "NorthEast" "white collar" 3036 1 0 0
144 2016-11-01 "m" 1989-04-27 "East" "unempl" 0 1 0 0
145 2016-11-18 "m" 1980-06-13 "East" "blue collar" 408 0 0 0
146 2016-11-12 "f" 1989-04-27 "East" "white collar" 7946 1 1 7
147 2016-11-18 "m" 1981-06-08 "Central" "white collar" 43 0 0 0
148 2016-11-08 "m" 2004-02-08 "North" "school" 0 1 0 0
149 2016-12-05 "f" 2000-02-29 "Bangkok" "blue collar" 2201 1 0 0
150 2016-11-13 "f" 1988-05-02 "Bangkok" "blue collar" 242 0 0 0
151 2016-12-07 "f" 2004-02-08 "Bangkok" "school" 0 1 0 0
152 2016-12-02 "m" 1976-07-04 "Bangkok" "unempl" 0 0 0 0
153 2016-11-25 "f" 1996-03-21 "NorthEast" "blue collar" 1224 1 0 0
154 2016-11-18 "m" 1996-03-21 "Bangkok" "blue collar" 376 1 1 3
155 2016-12-02 "f" 1985-05-18 "NorthEast" "blue collar" 1118 0 0 0
156 2016-11-07 "m" 1984-05-23 "East" "blue collar" 2371 0 1 2
157 2016-11-28 "f" 1996-03-21 "Bangkok" "unempl" 0 1 1 3
158 2016-11-22 "m" 1982-06-03 "East" "blue collar" 1723 0 0 0
159 2016-11-06 "f" 1990-04-22 "NorthEast" "white collar" 696 1 0 0
160 2016-12-06 "m" 1997-03-16 "Bangkok" "blue collar" 118 1 1 6
161 2016-11-01 "f" 2000-02-29 "East" "school" 0 1 1 3
162 2016-11-14 "f" 2000-02-29 "Bangkok" "school" 0 1 0 0
163 2016-11-09 "f" 1988-05-02 "NorthEast" "blue collar" 1778 1 0 0
164 2016-12-06 "f" 1977-06-29 "NorthEast" "blue collar" 1421 0 0 0
165 2016-11-29 "f" 1978-06-24 "North" "blue collar" 713 1 0 0
166 2016-11-06 "f" 1971-07-31 "NorthEast" "blue collar" 1437 0 0 0
167 2016-11-24 "f" 2005-02-02 "East" "school" 0 1 0 0
168 2016-11-18 "f" 1981-06-08 "NorthEast" "white collar" 713 0 0 0
169 2016-11-14 "m" 2000-02-29 "NorthEast" "school" 0 1 0 0
170 2016-11-12 "f" 1996-03-21 "Bangkok" "univ" 0 0 0 0
171 2016-12-08 "f" 1968-08-15 "Central" "blue collar" 70 0 0 0
172 2016-11-01 "f" 1986-05-13 "Bangkok" "white collar" 8633 0 0 0
173 2016-11-23 "m" 2005-02-02 "Bangkok" "school" 0 1 0 0
174 2016-12-05 "m" 1995-03-27 "Bangkok" "univ" 0 0 1 1
175 2016-12-07 "f" 2000-02-29 "South" "school" 0 1 1 4
176 2016-11-05 "f" 1993-04-06 "Bangkok" "blue collar" 2794 0 1 1
177 2016-11-28 "m" 1989-04-27 "Central" "blue collar" 2382 0 0 0
178 2016-11-01 "f" 1988-05-02 "Bangkok" "blue collar" 242 1 0 0
179 2016-11-03 "m" 1991-04-17 "East" "white collar" 3356 1 0 0
180 2016-12-01 "m" 1971-07-31 "Bangkok" "blue collar" 3488 0 0 0
181 2016-11-06 "m" 1981-06-08 "Central" "white collar" 2385 0 0 0
182 2016-11-19 "m" 1989-04-27 "North" "white collar" 3453 1 0 0
183 2016-12-09 "m" 1999-03-06 "Bangkok" "school" 0 1 1 2
184 2016-12-08 "m" 2007-01-23 "North" "school" 0 1 0 0
185 2016-11-28 "f" 1993-04-06 "Central" "unempl" 0 1 1 5
186 2016-11-07 "m" 1980-06-13 "Bangkok" "white collar" 2403 1 1 2
187 2016-11-01 "f" 1981-06-08 "NorthEast" "white collar" 7353 0 0 0
188 2016-11-29 "m" 1981-06-08 "NorthEast" "white collar" 3169 1 0 0
189 2016-11-10 "f" 1987-05-08 "North" "blue collar" 2015 1 0 0
190 2016-11-23 "f" 2007-01-23 "Central" "school" 0 1 0 0
191 2016-11-22 "f" 2005-02-02 "Bangkok" "school" 0 1 1 13
192 2016-11-16 "f" 1993-04-06 "NorthEast" "blue collar" 325 1 0 0
193 2016-11-07 "m" 1983-05-29 "East" "blue collar" 442 1 0 0
194 2016-11-01 "f" 1982-06-03 "Bangkok" "blue collar" 3712 1 1 4
195 2016-11-27 "f" 1980-06-13 "Bangkok" "white collar" 2409 1 1 3
196 2016-12-05 "f" 1991-04-17 "Central" "blue collar" 2170 0 1 1
197 2016-11-26 "m" 1983-05-29 "Bangkok" "white collar" 392 1 1 4
198 2016-10-30 "m" 1989-04-27 "NorthEast" "blue collar" 3343 1 1 3
199 2016-11-29 "m" 1999-03-06 "NorthEast" "school" 0 1 1 2
200 2016-11-22 "m" 1984-05-23 "NorthEast" "blue collar" 2791 0 0 0
201 2016-10-30 "m" 1997-03-16 "Bangkok" "blue collar" 1745 1 0 0
202 2016-11-21 "m" 1988-05-02 "NorthEast" "blue collar" 1469 0 0 0
203 2016-11-19 "f" 1970-08-05 "NorthEast" "blue collar" 46 0 0 0
204 2016-11-05 "f" 1994-04-01 "Bangkok" "blue collar" 2564 1 1 13
205 2016-11-10 "m" 1992-04-11 "Bangkok" "white collar" 5424 1 0 0
206 2016-11-16 "m" 1993-04-06 "NorthEast" "unempl" 0 1 1 13
207 2016-11-06 "f" 1995-03-27 "NorthEast" "univ" 0 0 0 0
208 2016-12-06 "f" 1989-04-27 "NorthEast" "blue collar" 4149 1 0 0
209 2016-11-17 "m" 1997-03-16 "Bangkok" "blue collar" 1828 1 1 3
210 2016-10-30 "f" 1969-08-10 "Central" "blue collar" 143 0 0 0
211 2016-11-16 "f" 2008-01-18 "NorthEast" "school" 0 1 0 0
212 2016-11-24 "f" 2002-02-18 "Central" "school" 0 1 0 0
213 2016-12-02 "m" 1989-04-27 "Central" "white collar" 9200 1 1 4
214 2016-10-29 "m" 2001-02-23 "NorthEast" "school" 0 1 1 1
215 2016-11-25 "f" 1981-06-08 "East" "blue collar" 1697 1 0 0
216 2016-11-18 "f" 1990-04-22 "Central" "blue collar" 1107 1 1 2
217 2016-11-14 "f" 1984-05-23 "NorthEast" "unempl" 0 1 0 0
218 2016-11-20 "m" 2003-02-13 "East" "school" 0 1 0 0
219 2016-11-16 "m" 1986-05-13 "Bangkok" "unempl" 0 1 1 5
220 2016-11-04 "f" 2006-01-28 "NorthEast" "school" 0 1 0 0
221 2016-11-22 "f" 1994-04-01 "Bangkok" "blue collar" 2177 0 1 1
222 2016-11-19 "m" 2003-02-13 "Bangkok" "school" 0 1 1 3
223 2016-11-14 "f" 1985-05-18 "Bangkok" "blue collar" 1453 0 1 3
224 2016-11-08 "f" 1992-04-11 "North" "white collar" 2891 0 0 0
225 2016-11-02 "m" 2001-02-23 "Bangkok" "school" 0 1 1 20
226 2016-11-12 "m" 1987-05-08 "Bangkok" "blue collar" 3306 1 0 0
227 2016-10-29 "m" 1992-04-11 "Bangkok" "white collar" 1626 0 0 0
228 2016-12-06 "f" 1991-04-17 "Central" "blue collar" 83 1 1 2
229 2016-11-07 "f" 1983-05-29 "NorthEast" "white collar" 8881 0 0 0
230 2016-11-09 "f" 1974-07-15 "Bangkok" "blue collar" 3235 1 0 0
231 2016-12-09 "m" 1990-04-22 "Bangkok" "white collar" 3620 1 1 4
232 2016-11-26 "f" 1990-04-22 "Central" "blue collar" 623 1 0 0
233 2016-12-02 "m" 1979-06-19 "South" "blue collar" 2145 0 0 0
234 2016-10-29 "m" 2005-02-02 "Central" "school" 0 1 1 1
235 2016-11-29 "f" 1989-04-27 "NorthEast" "blue collar" 888 1 0 0
236 2016-12-05 "m" 1993-04-06 "East" "blue collar" 2809 1 1 3
237 2016-11-06 "m" 1998-03-11 "Bangkok" "blue collar" 639 1 1 3
238 2016-11-27 "m" 1999-03-06 "NorthEast" "blue collar" 2144 1 0 0
239 2016-11-01 "f" 1973-07-20 "NorthEast" "blue collar" 1458 0 0 0
240 2016-11-07 "f" 1992-04-11 "Bangkok" "white collar" 4903 1 0 0
241 2016-11-15 "m" 1996-03-21 "NorthEast" "blue collar" 2796 1 0 0
242 2016-11-06 "m" 2000-02-29 "South" "blue collar" 1970 1 1 3
243 2016-11-08 "f" 2000-02-29 "South" "blue collar" 2105 1 0 0
244 2016-11-21 "m" 1975-07-10 "Bangkok" "blue collar" 1612 1 0 0
245 2016-11-15 "m" 1987-05-08 "Central" "blue collar" 1201 1 0 0
246 2016-12-02 "f" 2008-01-18 "Central" "school" 0 1 0 0
247 2016-11-02 "m" 1985-05-18 "North" "blue collar" 3435 0 0 0
248 2016-10-30 "f" 1997-03-16 "Bangkok" "unempl" 0 1 0 0
249 2016-11-15 "f" 1968-08-15 "NorthEast" "blue collar" 1763 0 0 0
250 2016-11-11 "f" 1990-04-22 "Bangkok" "white collar" 8006 1 0 0
251 2016-12-04 "f" 1995-03-27 "NorthEast" "blue collar" 4399 1 1 3
252 2016-11-09 "f" 1995-03-27 "NorthEast" "univ" 0 0 1 2
253 2016-11-25 "m" 1991-04-17 "Bangkok" "unempl" 0 1 0 0
254 2016-10-29 "m" 1992-04-11 "Central" "white collar" 8885 1 0 0
255 2016-11-23 "m" 2005-02-02 "East" "school" 0 1 1 2
256 2016-11-14 "f" 2002-02-18 "Central" "school" 0 1 1 2
257 2016-10-30 "f" 1983-05-29 "East" "blue collar" 1839 1 0 0
258 2016-11-27 "f" 1994-04-01 "NorthEast" "blue collar" 3748 1 0 0
259 2016-11-16 "m" 1990-04-22 "NorthEast" "blue collar" 1816 0 0 0
260 2016-11-23 "f" 1998-03-11 "Central" "blue collar" 1619 1 1 4
261 2016-11-16 "m" 1989-04-27 "Bangkok" "white collar" 3759 0 0 0
262 2016-11-22 "f" 1993-04-06 "Bangkok" "blue collar" 479 1 1 7
263 2016-11-16 "f" 2007-01-23 "Central" "school" 0 1 0 0
264 2016-12-09 "m" 2008-01-18 "NorthEast" "school" 0 1 0 0
265 2016-11-02 "m" 1988-05-02 "North" "blue collar" 1303 0 0 0
266 2016-10-31 "f" 1994-04-01 "NorthEast" "blue collar" 5177 0 0 0
267 2016-10-30 "f" 1984-05-23 "Bangkok" "blue collar" 1610 1 1 2
268 2016-11-30 "f" 1981-06-08 "North" "unempl" 0 1 0 0
269 2016-11-24 "f" 1981-06-08 "North" "blue collar" 469 0 0 0
270 2016-12-07 "m" 1988-05-02 "Bangkok" "blue collar" 1555 0 0 0
271 2016-11-29 "m" 1985-05-18 "Central" "blue collar" 2695 0 0 0
272 2016-12-02 "f" 1992-04-11 "NorthEast" "blue collar" 426 1 1 11
273 2016-11-28 "m" 1992-04-11 "Bangkok" "blue collar" 561 1 0 0
274 2016-11-20 "m" 1983-05-29 "Bangkok" "white collar" 4811 0 0 0
275 2016-11-23 "f" 2002-02-18 "NorthEast" "school" 0 1 1 11
276 2016-11-29 "m" 1992-04-11 "NorthEast" "blue collar" 2952 0 0 0
277 2016-11-18 "m" 1991-04-17 "North" "blue collar" 809 1 1 4
278 2016-12-06 "f" 1981-06-08 "NorthEast" "blue collar" 994 1 0 0
279 2016-11-30 "m" 1993-04-06 "Bangkok" "univ" 0 1 1 5
280 2016-11-20 "f" 1997-03-16 "East" "blue collar" 3103 1 1 4
281 2016-11-10 "m" 1977-06-29 "Central" "unempl" 0 1 0 0
282 2016-11-17 "m" 1990-04-22 "East" "blue collar" 611 1 1 2
283 2016-11-18 "f" 1997-03-16 "NorthEast" "univ" 0 0 0 0
284 2016-11-12 "f" 2006-01-28 "Central" "school" 0 1 0 0
285 2016-11-15 "f" 1973-07-20 "Bangkok" "white collar" 7219 0 0 0
286 2016-11-09 "m" 1989-04-27 "Central" "blue collar" 5096 1 1 4
287 2016-11-17 "f" 1991-04-17 "Central" "blue collar" 2107 1 1 4
288 2016-12-04 "m" 1985-05-18 "Central" "blue collar" 150 0 0 0
289 2016-12-08 "m" 1993-04-06 "Bangkok" "blue collar" 1216 1 1 8
290 2016-11-05 "f" 2006-01-28 "Central" "school" 0 1 0 0
291 2016-12-01 "f" 1980-06-13 "East" "blue collar" 2408 1 1 4
292 2016-11-13 "m" 1993-04-06 "Central" "blue collar" 671 1 1 2
293 2016-11-03 "f" 1997-03-16 "East" "blue collar" 1544 1 1 7
294 2016-11-23 "m" 1985-05-18 "South" "blue collar" 390 1 1 1
295 2016-12-07 "m" 1982-06-03 "Bangkok" "blue collar" 645 1 0 0
296 2016-11-30 "m" 2000-02-29 "NorthEast" "blue collar" 3193 1 0 0
297 2016-11-03 "m" 1998-03-11 "NorthEast" "school" 0 1 0 0
298 2016-11-06 "f" 1993-04-06 "Bangkok" "blue collar" 3156 1 1 5
299 2016-12-01 "m" 1983-05-29 "Central" "blue collar" 2727 1 0 0
300 2016-11-09 "m" 2009-01-12 "NorthEast" "school" 0 1 1 1
301 2016-12-09 "m" 2001-02-23 "Central" "school" 0 1 1 5
302 2016-12-04 "m" 2003-02-13 "Central" "school" 0 1 1 2
303 2016-11-18 "m" 1995-03-27 "Bangkok" "blue collar" 1747 1 1 8
304 2016-11-09 "f" 1988-05-02 "North" "blue collar" 2697 0 0 0
305 2016-11-16 "f" 1989-04-27 "Central" "blue collar" 3813 1 1 9
306 2016-11-30 "f" 1981-06-08 "Bangkok" "blue collar" 997 1 1 4
307 2016-11-04 "m" 1997-03-16 "North" "univ" 0 1 1 2
308 2016-11-27 "m" 2005-02-02 "NorthEast" "school" 0 1 0 0
309 2016-12-10 "f" 1989-04-27 "NorthEast" "blue collar" 552 1 1 2
310 2016-12-10 "f" 2000-02-29 "NorthEast" "school" 0 0 0 0
311 2016-11-18 "m" 2004-02-08 "NorthEast" "school" 0 1 0 0
312 2016-11-18 "m" 1983-05-29 "NorthEast" "blue collar" 1041 0 0 0
313 2016-11-08 "m" 2005-02-02 "NorthEast" "school" 0 1 0 0
314 2016-10-31 "m" 2001-02-23 "NorthEast" "school" 0 1 0 0
315 2016-11-17 "m" 1989-04-27 "North" "blue collar" 2357 0 0 0
316 2016-11-29 "m" 1983-05-29 "NorthEast" "blue collar" 2394 1 0 0
317 2016-10-29 "f" 1984-05-23 "South" "blue collar" 1375 1 0 0
318 2016-11-22 "m" 1990-04-22 "Bangkok" "blue collar" 1541 0 0 0
319 2016-11-23 "f" 2006-01-28 "South" "school" 0 1 0 0
320 2016-11-25 "m" 2006-01-28 "NorthEast" "school" 0 1 1 2
321 2016-11-20 "f" 1970-08-05 "NorthEast" "white collar" 6623 0 0 0
322 2016-12-08 "f" 2002-02-18 "East" "school" 0 1 0 0
323 2016-11-14 "m" 1968-08-15 "East" "white collar" 508 0 0 0
324 2016-11-03 "f" 1989-04-27 "NorthEast" "blue collar" 3441 1 0 0
325 2016-10-30 "f" 1984-05-23 "South" "white collar" 851 1 1 5
326 2016-11-09 "f" 1973-07-20 "Central" "blue collar" 853 0 0 0
327 2016-11-07 "m" 1983-05-29 "Central" "blue collar" 4421 1 1 4
328 2016-11-06 "f" 1990-04-22 "NorthEast" "blue collar" 1156 1 1 5
329 2016-11-19 "f" 1985-05-18 "Bangkok" "blue collar" 811 1 0 0
330 2016-11-15 "m" 2002-02-18 "NorthEast" "school" 0 1 0 0
331 2016-11-08 "m" 1981-06-08 "Central" "blue collar" 171 1 1 3
332 2016-10-30 "m" 1976-07-04 "South" "blue collar" 2096 1 0 0
333 2016-11-07 "m" 1981-06-08 "Bangkok" "white collar" 2767 1 0 0
334 2016-11-26 "m" 1984-05-23 "Central" "blue collar" 3038 1 1 9
335 2016-11-09 "m" 2002-02-18 "Bangkok" "school" 0 1 0 0
336 2016-12-04 "f" 1989-04-27 "Bangkok" "blue collar" 1582 1 1 7
337 2016-11-09 "f" 2000-02-29 "Central" "school" 0 1 0 0
338 2016-11-20 "m" 2008-01-18 "East" "school" 0 1 1 2
339 2016-11-25 "f" 1993-04-06 "Central" "unempl" 0 1 1 1
340 2016-11-23 "f" 1984-05-23 "North" "white collar" 5059 0 0 0
341 2016-11-15 "f" 1970-08-05 "South" "white collar" 5017 0 0 0
342 2016-11-13 "m" 2004-02-08 "East" "school" 0 1 1 13
343 2016-11-02 "m" 1972-07-25 "Bangkok" "blue collar" 2555 0 0 0
344 2016-11-03 "m" 1988-05-02 "Bangkok" "blue collar" 1441 1 1 4
345 2016-11-01 "f" 1998-03-11 "Bangkok" "blue collar" 364 1 0 0
346 2016-11-16 "m" 1984-05-23 "NorthEast" "unempl" 0 0 0 0
347 2016-11-26 "m" 1981-06-08 "East" "white collar" 1837 1 1 2
348 2016-11-24 "m" 1991-04-17 "North" "blue collar" 2031 0 0 0
